_id,sentence,target,aspect,Business_Area,Topic,score,Sentiment_Category,type,split
1165,Kingfisher share price slides on cost to implement new strategy,Kingfisher,Stock/Price Action,Stock,Price Action,-0.786,Negative,headline,train
1168,Shire says internal synergy goals from Baxalta deal higher,Shire,Corporate/Company Communication/Dividend,Corporate,Company Communication,0.287,Positive,headline,train
1172,"European shares plunge, roiled by BHP and oil; hopes turn to ECB",BHP,Economy/Central Banks/?,Economy,Central Banks,-0.736,Negative,headline,train
1183,Morrisons and Debenhams surprise City with Christmas bounce back,Morrisons,Stock/Price Action/Volatility,Stock,Price Action,0.619,Positive,headline,train
1183,Morrisons and Debenhams surprise City with Christmas bounce back,Debenhams,Stock/Price Action/Volatility,Stock,Price Action,0.573,Positive,headline,train
1190,"Britain's FTSE falls back with Ashtead, commodities under pressure",Ashtead,Market/Volatility,Market,Volatility,-0.59,Negative,headline,train
1192,Tesco shares jump 6% after Christmas sales beat expectations,Tesco,Corporate/Sales,Corporate,Sales,0.814,Positive,headline,train
1195,"CEOs of BPM, UBI meet Italy econ minister as M&A talk heats up",UBI,Corporate/Risks/Extraordinary Meeting,Corporate,Risks,0.133,Neutral,headline,train
1200,CompaniesHome Retail trims gains but is considered 'in play',Home Retail,Stock/Price Action,Stock,Price Action,0.135,Neutral,headline,train
1202,Philippines' San Miguel says to partner with Kirin if it bids for SABMiller's ...,San Miguel,Corporate/Sales/Partnership,Corporate,Sales,0.19,Neutral,headline,train
1202,Philippines' San Miguel says to partner with Kirin if it bids for SABMiller's ...,SABMiller,Corporate/Sales/Partnership,Corporate,Sales,0.577,Positive,headline,train
1203,Investors Remain Skeptical About Shell-BG Deal,Shell,Corporate/Rumors/Rumors,Corporate,Rumors,-0.266,Negative,headline,train
1210,MarketsShire up 2.5% and Baxalta up 6% on $32bn deal,Shire,Stock/Buyside/Stock Buyside,Stock,Buyside,0.487,Positive,headline,train
1217,Shire share price under pressure after $32bn Baxalta deal,Baxalta,Stock/Price Action,Stock,Price Action,-0.198,Neutral,headline,train
1217,Shire share price under pressure after $32bn Baxalta deal,Shire,Stock/Price Action/Volatility,Stock,Price Action,-0.186,Neutral,headline,train
1218,Valeant Names Interim Leader as CEO Remains Hospitalized,Valeant,Corporate/Appointment,Corporate,Appointment,0.0,Neutral,headline,train
1222,Valeant Said to Name New CEO With Pearson Still Hospitalized,Valeant,Corporate/Appointment,Corporate,Appointment,0.015,Neutral,headline,train
1223,Shares in BAE Systems hit 10-month high on rating upgrade,BAE,Stock/Coverage,Stock,Coverage,0.905,Positive,headline,train
1224,Japan's Asahi to submit bid next week for SABMiller's Grolsch and Peroni - Yomiuri,SABMiller,Stock/Buyside/Stock Buyside,Stock,Buyside,0.236,Positive,headline,train
123,Analyst Views: Astrazeneca shares have seen recent volatility; what will 2015 ...,Astrazeneca,Market/Volatility,Market,Volatility,-0.12,Neutral,headline,train
1230,CompaniesDixons Carphone to close 134 UK stores as sales jump,Dixons Carphone,Corporate/Sales,Corporate,Sales,0.144,Neutral,headline,train
1239,"Broker tips: RBS, Croda, Sage",Sage,Corporate/Rumors/Rumors,Corporate,Rumors,0.393,Positive,headline,train
1239,"Broker tips: RBS, Croda, Sage",RBS,Corporate/Rumors/Rumors,Corporate,Rumors,0.381,Positive,headline,train
1241,Shell share price: Standard Life announce position against BG acquisition,Shell,Corporate/M&A/M&A,Corporate,M&A,-0.134,Neutral,headline,train
1241,Shell share price: Standard Life announce position against BG acquisition,Standard Life,Corporate/M&A/M&A,Corporate,M&A,-0.099,Neutral,headline,train
1242,Tesco share price down as grocer faces SFO investigation outcome,Tesco,Stock/Price Action,Stock,Price Action,-0.542,Negative,headline,train
1243,"Britain's FTSE outperforms Europe, Royal Mail and Tesco rise",Tesco,Market/Volatility/Volatility,Market,Volatility,0.439,Positive,headline,train
1256,Greene King's third quarter sales boosted by festive season,Greene King,Corporate/Sales,Corporate,Sales,0.363,Positive,headline,train
127,ARM Royalties Accelerate as Smartphone Market Regains Strength,ARM,Market/Market,Market,Market,0.571,Positive,headline,train
128,ConAgra Names Former Hillshire Farms CEO Connolly to Top Post,ConAgra,Corporate/Appointment,Corporate,Appointment,0.101,Neutral,headline,train
1283,InterContinental Hotels Group share price climbs on $1.5bn special dividend,InterContinental Hotels Group,Corporate/Dividend Policy,Corporate,Dividend Policy,0.631,Positive,headline,train
1284,Amazon to attack UK grocery market with Morrisons deal,Morrisons,Market/Market/Market Outlook,Market,Market,0.333,Positive,headline,train
1287,AstraZeneca share price: Acerta deal pays off with orphan drug status,AstraZeneca,Corporate/M&A,Corporate,M&A,0.495,Positive,headline,train
1288,"BHP Billiton posts big loss, slashes dividend",BHP Billiton,Corporate/Dividend Policy,Corporate,Dividend Policy,-0.938,Negative,headline,train
1289,Merged LSE and Deutsche BÃ¶rse would be led by Germany's Kengeter,LSE,Corporate/M&A/M&A,Corporate,M&A,0.136,Neutral,headline,train
129,BG Group appoints new CEO one month early,BG Group,Corporate/Appointment,Corporate,Appointment,0.069,Neutral,headline,train
1297,"Should You Buy Jumbo Yielders British American Tobacco plc, Centrica PLC & John Wood Group PLC?",Centrica PLC,Corporate/Rumors/Scoop,Corporate,Rumors,0.1,Neutral,headline,train
1297,"Should You Buy Jumbo Yielders British American Tobacco plc, Centrica PLC & John Wood Group PLC?",John Wood Group PLC,Corporate/Rumors/Scoop,Corporate,Rumors,0.103,Neutral,headline,train
1311,Is Trouble Brewing At Legal & General Group Plc And Aviva plc?,Legal & General Group Plc,Corporate/Rumors/Rumors,Corporate,Rumors,-0.271,Negative,headline,train
1313,BHP Billiton drags FTSE lower after slashing dividend,BHP Billiton,Corporate/Dividend Policy,Corporate,Dividend Policy,-0.604,Negative,headline,train
1314,"BHP Billiton slashes dividend, posts $5.67 billion net loss",BHP Billiton,Corporate/Dividend Policy,Corporate,Dividend Policy,-0.341,Negative,headline,train
1315,CompaniesMeggitt profits hit by weak energy and military markets,Meggitt,Market/Market,Market,Market,-0.302,Negative,headline,train
1316,Royal Mail share price edges lower as group raises stamp price,Royal Mail,Stock/Price Action,Stock,Price Action,-0.269,Negative,headline,train
132,"Glencore Cuts 2015 Budget, Plans To Divest From Lonmin",Lonmin,Corporate/Strategy/Divestment,Corporate,Strategy,-0.314,Negative,headline,train
1323,GlaxoSmithKline starts hunt for successor to CEO Witty,GlaxoSmithKline,Corporate/Appointment/Executive Appointment,Corporate,Appointment,0.0,Neutral,headline,train
1324,"Rio Tinto swings to loss, drops dividend policy",Rio Tinto,Corporate/Dividend Policy,Corporate,Dividend Policy,-0.511,Negative,headline,train
1327,France raises concerns over proposed LSE-Deutsche Boerse deal,LSE,Corporate/Risks/Sale Halt,Corporate,Risks,-0.347,Negative,headline,train
1334,MarketsBP promotes upstream boss to deputy CEO,BP,Corporate/Appointment,Corporate,Appointment,0.066,Neutral,headline,train
1336,Legal & General share price: Finance chief to step down,Legal & General,Corporate/Appointment,Corporate,Appointment,-0.166,Neutral,headline,train
1343,Barclays poaches new chief operating officer Paul Compton from JP Morgan Chase,JP Morgan Chase,Corporate/Appointment/Executive Appointment,Corporate,Appointment,-0.092,Neutral,headline,train
1346,Arm profits and sales up as shift away from mobile gains pace,Arm,Corporate/Sales,Corporate,Sales,0.497,Positive,headline,train
1349,Barclays appoints JPMorgan's Paul Compton as new COO,JPMorgan,Corporate/Appointment/Executive Appointment,Corporate,Appointment,-0.014,Neutral,headline,train
1349,Barclays appoints JPMorgan's Paul Compton as new COO,Barclays,Corporate/Appointment,Corporate,Appointment,0.036,Neutral,headline,train
135,U.S. Debt Lures Schroders as ECB Depresses Rates,Schroders,Economy/Central Banks,Economy,Central Banks,0.048,Neutral,headline,train
1350,"FastJet slams EasyJet founder Stelios for going public, is 'taking legal advice' over letter about contractual ...",EasyJet,Corporate/Legal,Corporate,Legal,-0.238,Negative,headline,train
1353,NYSE owner ICE considers offer for LSE,LSE,Corporate/Rumors/Scoop,Corporate,Rumors,0.396,Positive,headline,train
1356,News FeedFTSE 100 movers: LSE surges as ICE says mulling offer; Ashtead and Barclays tank,ICE,Corporate/M&A,Corporate,M&A,0.226,Positive,headline,train
1356,News FeedFTSE 100 movers: LSE surges as ICE says mulling offer; Ashtead and Barclays tank,LSE,Corporate/M&A,Corporate,M&A,0.843,Positive,headline,train
1360,Balfour Beatty plc Set To Reinstate Dividend (And Rival National Grid plc And Centrica PLC Once More?),Balfour Beatty plc,Corporate/Dividend Policy,Corporate,Dividend Policy,0.413,Positive,headline,train
1360,Balfour Beatty plc Set To Reinstate Dividend (And Rival National Grid plc And Centrica PLC Once More?),Rival National Grid plc,Corporate/Dividend Policy/Dividend,Corporate,Dividend Policy,0.408,Positive,headline,train
1360,Balfour Beatty plc Set To Reinstate Dividend (And Rival National Grid plc And Centrica PLC Once More?),Centrica PLC,Corporate/Dividend Policy/Dividend,Corporate,Dividend Policy,0.403,Positive,headline,train
1365,Intertek swings to Â£347 mln loss on oil's slump,Intertek,Market/Volatility,Market,Volatility,-0.734,Negative,headline,train
1372,Sanofi poaches AstraZeneca scientist as new research head,Sanofi,Corporate/Appointment/Executive Appointment,Corporate,Appointment,0.066,Neutral,headline,train
1373,Tesco breaks its downward slide by cutting sales decline in half,Tesco,Corporate/Sales,Corporate,Sales,0.172,Neutral,headline,train
1376,"News FeedSchroders books solid earnings growth, several board changes",Schroders,Stock/Fundamentals,Stock,Fundamentals,0.5,Positive,headline,train
1378,Intertek Group announces strategic update outlining its plan,Intertek Group,Corporate/Strategy,Corporate,Strategy,0.046,Neutral,headline,train
1379,London Stock Exchange seals Â£22 billion merger with Germany's Deutsche BÃ¶rse,London Stock Exchange,Corporate/M&A/M&A,Corporate,M&A,0.327,Positive,headline,train
138,Tullow Oil Suspends Dividend Amid Oil Price Fall,Tullow Oil,Corporate/Dividend Policy,Corporate,Dividend Policy,-0.498,Negative,headline,train
1380,NYSE owner ICE may gatecrash Deutsche Boerse-LSE merger,LSE,Corporate/M&A/Proposed Merger,Corporate,M&A,-0.2,Neutral,headline,train
1381,AB InBev to Sell SABMiller Stake in China's Snow Beer,SABMiller,Stock/Signal/Sell Signal,Stock,Signal,-0.045,Neutral,headline,train
1383,LSE-Deutsche Boerse merger would signal end to exchange mega-deals,LSE,Corporate/M&A/M&A,Corporate,M&A,0.105,Neutral,headline,train
1387,RBS Pays $1.7 Billion to Scrap U.K. Treasury's Dividend Rights,RBS,Corporate/Dividend Policy,Corporate,Dividend Policy,0.066,Neutral,headline,train
1396,Industry NewsWolseley confident in reslilience amid mixed markets,Wolseley,Market/Market,Market,Market,0.287,Positive,headline,train
1402,Tesco criticised for 'disgraceful' advert showing domestic worker being slapped,Tesco,Corporate/Reputation,Corporate,Reputation,-0.498,Negative,headline,train
1405,FTSE edges up as investors cheer Kingfisher results,Kingfisher,Stock/Price Action,Stock,Price Action,0.678,Positive,headline,train
1410,Barclays Bonds Rise as Lender Cuts Dividends to Shore Up Capital,Barclays,Corporate/Dividend Policy,Corporate,Dividend Policy,0.261,Positive,headline,train
1412,Britain's FTSE gets lift from Prudential results,Prudential,Corporate/Financial,Corporate,Financial,0.582,Positive,headline,train
1415,Amazon's grocery deal with Morrisons is only the beginning,Morrisons,Corporate/Sales/Deal,Corporate,Sales,0.389,Positive,headline,train
142,"Oil majors like Royal Dutch Shell, Chevron, BP fail to find reserves to counter ...",Royal Dutch Shell,Corporate/Risks,Corporate,Risks,-0.402,Negative,headline,train
1425,ICE Said to Start Lining Up Financing for LSE Bidding War,LSE,Corporate/Rumors/Rumors,Corporate,Rumors,0.328,Positive,headline,train
1426,"BP, Statoil, to Withdraw Staff From Algeria Following Rocket Attack",Statoil,Corporate/Appointment/Staff Hiring,Corporate,Appointment,-0.242,Negative,headline,train
1431,Merkel's Government Said to Support Deutsche Boerse-LSE Merger,LSE,Corporate/M&A/Proposed Merger,Corporate,M&A,0.358,Positive,headline,train
1435,Aviva weighs cash handout after beating profit forecast,Aviva,Corporate/Dividend Policy,Corporate,Dividend Policy,0.377,Positive,headline,train
1436,"WPP, World's Largest Ad Agency, Reports Strong 2015 Growth",WPP,Stock/Fundamentals,Stock,Fundamentals,0.555,Positive,headline,train
1443,"Saudi Aramco, Shell plan to break up Motiva, divide up assets",Saudi Aramco,Corporate/Strategy/Reorganization,Corporate,Strategy,-0.142,Neutral,headline,train
1443,"Saudi Aramco, Shell plan to break up Motiva, divide up assets",Shell,Corporate/Strategy/Reorganization,Corporate,Strategy,-0.102,Neutral,headline,train
1449,AB InBev to sell more SAB assets as seeks EU deal approval,SAB,Corporate/M&A/M&A,Corporate,M&A,-0.079,Neutral,headline,train
1455,Tesco's Sales Pickup Isn't Enough,Tesco,Corporate/Sales,Corporate,Sales,-0.23,Negative,headline,train
1462,Spain's CaixaBank Expects To Close Deal For Banco BPI,CaixaBank,Corporate/Sales/Deal,Corporate,Sales,0.375,Positive,headline,train
1463,ITV share price: Group mulls takeover of Canada's Entertainment One,ITV,Corporate/M&A/M&A,Corporate,M&A,0.422,Positive,headline,train
1469,Entertainment One dispels ITV takeover rumours,Entertainment One,Corporate/Rumors,Corporate,Rumors,0.138,Neutral,headline,train
1469,Entertainment One dispels ITV takeover rumours,ITV,Corporate/Rumors,Corporate,Rumors,0.003,Neutral,headline,train
1475,GE to Sell Majority Stake in Bank BPH's Core Bank to Alior Bank,Bank BPH,Stock/Price Action/Volatility/Sell-Off,Stock,Price Action,0.213,Positive,headline,train
1475,GE to Sell Majority Stake in Bank BPH's Core Bank to Alior Bank,GE,Stock/Price Action/Volatility/Sell-Off,Stock,Price Action,0.211,Positive,headline,train
1476,Tata Steel working with StanChart for UK unit sale - source,StanChart,Stock/IPO,Stock,IPO,0.218,Positive,headline,train
1476,Tata Steel working with StanChart for UK unit sale - source,Tata Steel,Corporate/Sales/Deal,Corporate,Sales,0.143,Neutral,headline,train
1487,Crown Castle buys Tower Development Corp for $461 million,Tower Development,Corporate/M&A/M&A,Corporate,M&A,0.366,Positive,headline,train
1492,Tesco sells half of stake in ecommerce site Lazada to Alibaba for Â£90m,Lazada,Stock/Price Action/Volatility/Sell-Off,Stock,Price Action,-0.038,Neutral,headline,train
1492,Tesco sells half of stake in ecommerce site Lazada to Alibaba for Â£90m,Tesco,Stock/Price Action/Volatility/Sell-Off,Stock,Price Action,0.365,Positive,headline,train
1496,"CaixaBank, dos Santos Agree on Plan for BPI Angola Exposure",CaixaBank,Corporate/Strategy/Company Agreement,Corporate,Strategy,0.244,Positive,headline,train
1499,"BPI Says Caixabank, Isabel dos Santos Reach Agreement Over Angola Exposure",CaixaBank,Corporate/Strategy/Company Agreement,Corporate,Strategy,0.243,Positive,headline,train
1503,Spain's Caixabank launches new takeover bid for Banco BPI,Caixabank,Corporate/M&A/M&A,Corporate,M&A,0.185,Neutral,headline,train
1507,"Despite sales growth, UK's Tesco cautions recovery to be bumpy",Tesco,Corporate/Sales,Corporate,Sales,-0.077,Neutral,headline,train
1508,ITV to pursue takeover of Canada's Entertainment One: Bloomberg,ITV,Corporate/M&A/M&A,Corporate,M&A,0.199,Neutral,headline,train
1516,Shire Sees Baxalta Deal Closing as Expected After New Rules,Shire,Corporate/Sales/Deal,Corporate,Sales,0.224,Positive,headline,train
1517,"OCBC to Buy Barclay's Wealth Management Unit in Singapore, Hong Kong",OCBC,Corporate/M&A/M&A,Corporate,M&A,0.257,Positive,headline,train
1528,Tesco share price steady as analysts weigh in on results,Tesco,Stock/Price Action,Stock,Price Action,0.052,Neutral,headline,train
153,Standard Chartered lags on capital worries,Standard Chartered,Corporate/Risks,Corporate,Risks,-0.358,Negative,headline,train
1530,Lloyds Banking Group's share price lifts amid reports bank is poised to axe hundreds of UK jobs,Lloyds,Stock/Price Action,Stock,Price Action,0.292,Positive,headline,train
1545,Should You Follow Berkshire Hathaway Into Apple Stock?,Berkshire Hathaway,Corporate/Rumors/Scoop,Corporate,Rumors,0.0,Neutral,headline,train
1554,Morrisons book second consecutive quarter of sales growth,Morrisons,Corporate/Sales,Corporate,Sales,0.43,Positive,headline,train
1556,Royal Mail gets mixed bag from Ofcom postal regulation report,Royal Mail,Corporate/Regulatory,Corporate,Regulatory,-0.084,Neutral,headline,train
1559,UPDATE 3-Ex-Barclays director accused by US of illegal tips to plumber,Barclays,Stock/Insider Activity,Stock,Insider Activity,-0.34,Negative,headline,train
156,Standard Life share price: Insurer buys advice firm Pearson Jones,Standard Life,Corporate/Strategy/Corporate Planning,Corporate,Strategy,0.364,Positive,headline,train
1560,"EU regulators clear $100 billion-plus AB InBev, SABMiller deal",SABMiller,Corporate/Sales/Deal,Corporate,Sales,0.392,Positive,headline,train
1568,Retail giant Kingfisher reports 'solid' start to the year,Kingfisher,Corporate/Company Communication,Corporate,Company Communication,0.368,Positive,headline,train
158,Tesco closes in on new chairman with Dixons Carphone's John Allan in the frame,Tesco,Corporate/Appointment/Staff Hiring,Corporate,Appointment,0.295,Positive,headline,train
158,Tesco closes in on new chairman with Dixons Carphone's John Allan in the frame,Dixons Carphone,Corporate/Appointment,Corporate,Appointment,0.129,Neutral,headline,train
1581,"Berkshire discloses unit's ties to Iran, opens probe",Berkshire,Corporate/Company Communication,Corporate,Company Communication,-0.288,Negative,headline,train
1583,Berkshire Hathaway names Kara Raiguel to lead General Re unit,Berkshire,Corporate/Appointment,Corporate,Appointment,0.077,Neutral,headline,train
1585,"European stocks hover near 3-week low, Dialog and BHP slump",Dialog,Stock/Price Action/Volume/Unusual Low Volume,Stock,Price Action,-0.584,Negative,headline,train
1586,Hargreaves Lansdown bucks weak markets to see assets rise 2.6 percent,Hargreaves Lansdown,Market/Market,Market,Market,0.571,Positive,headline,train
159,MillerCoors Delivers 2.9% Underlying Net Income Growth for 2014,MillerCoors,Stock/Fundamentals,Stock,Fundamentals,0.495,Positive,headline,train
1590,Australia clears AB Inbev's $100 billion SABMiller buyout plan,AB InBrev,Corporate/Strategy/Buyout,Corporate,Strategy,0.437,Positive,headline,train
1598,Goodwin not to face Scottish prosecution over RBS,RBS,Corporate/Legal,Corporate,Legal,0.114,Neutral,headline,train
1599,Royal Mail turnaround proving expensive in tough UK market,Royal Mail,Market/Market,Market,Market,-0.057,Neutral,headline,train
1604,Whitbread buys 49% stake in Pure food chain,Whitbread,Corporate/M&A/M&A,Corporate,M&A,0.365,Positive,headline,train
1609,"Irish Said Chasing Standard Chartered, RBS as Brexit Vote Nears",Standard Chartered,Corporate/Strategy/Corporate Planning,Corporate,Strategy,0.128,Neutral,headline,train
1611,Royal Mail share price rallies amid positive broker comments,Royal Mail,Stock/Price Action,Stock,Price Action,0.59,Positive,headline,train
1619,InterContinental Hotels first-quarter global room revenue lags estimates,InterContinental,Corporate/Sales,Corporate,Sales,-0.329,Negative,headline,train
1629,Aspen to Buy Anaesthetics From AstraZeneca for $520 Million,AstraZeneca,Corporate/M&A/M&A,Corporate,M&A,0.395,Positive,headline,train
1634,London Stock Exchange â€“ Deutsche Boerse merger under threat from Brexit,London Stock Exchange,Corporate/M&A/M&A,Corporate,M&A,-0.421,Negative,headline,train
